customer_id,start_date,end_date,years_of_experience,channel,geo,profession_id,cancellation_reason
d18013b0edd9a43a0fdb67c8cfbc3342,2019-09-05,2019-11-04,5.0,channel sales,TX,5010,Non-Payment
9f618809d3a625ddd81ce0d8237c99dd,2020-02-24,2020-04-14,5.0,organic,OH,100003,Insured is no longer in business
47e9c803736f0999430324aaaba6046c,2019-08-26,2019-10-26,5.0,sem,FL,5006,Non-Payment
825463b772f05057975b61988718e6af,2019-10-09,2019-11-18,10.0,sem,OH,100001,I had a short-term need for insurance that has ended
66a8c47b8ecaaed6fc1031b1d9ab1e3c,2019-04-08,2020-04-08,5.0,sem,MD,100040,
5ee75848b7158fb5db677259a882787e,2020-01-13,2021-01-13,5.0,sem,PA,5010,
7329062c3e70b5ce11690244e9ebf804,2019-03-25,2020-03-25,2.0,direct,CA,100002,
ea14a7d3754f077aa8dd9711221dc063,2018-05-15,2019-05-15,7.0,sem,TX,100001,
6c092ddc93401268d933bb59b9943cb7,2019-12-04,2020-12-04,2.0,sem,NC,5005,
98d423230f183585cb399713b57b6495,2020-09-28,2021-09-28,10.0,direct,FL,5003,
6f554059d68d9fef2cf57b6c521b9458,2019-09-06,2020-09-06,2.0,email,MI,5010,
6fe591c867ef525f255226df5c7fbea2,2018-10-31,2019-10-31,5.0,sem,NJ,100019,
235eb5019d4c546d11bca1f9f523579c,2019-02-19,2020-02-19,5.0,sem,MD,100001,
cf1405fa1d3d32bb84b91a1e57998546,2018-06-01,2018-12-31,21.0,sem,TX,100001,Non-Payment
f26625808ba29cabdaa4cb3b393c8112,2020-01-31,2021-01-31,3.0,sem,AZ,5010,
593a14bef20270caf4147aac3d468f09,2019-01-28,2019-01-28,3.0,sem,FL,100002,I don't see the value of having insurance anymore
cb70371726dd6a897ba6cd86ea2a40c2,2019-08-26,2020-08-26,5.0,sem,NC,5006,
86872f802e300a77c1ce622cc4099a62,2019-05-06,2019-07-05,5.0,direct,CA,100003,Non-Payment
db102ba3b64139a9d50da1c46b54fa8f,2018-10-23,2019-10-23,5.0,social,ME,5003,
e00923c2072c8a1b88d28079205d5b5d,2018-12-12,2019-03-13,5.0,sem,OH,100019,Non-Payment
2cfc7f31cf21ba304551641e4555731f,2018-10-30,2019-06-30,12.0,sem,CA,100001,Non-Payment
b4879bd2eea69f676f62eaa5179830eb,2018-09-10,2019-09-10,2.0,sem,CA,5006,
bc2b3c4b62d82c0172d7c52c42784cd8,2020-04-03,2021-04-03,5.0,sem,MT,5005,
60580f92eb8445805b54bf6b1eb439e3,2018-06-01,2019-06-01,3.0,channel sales,TX,100005,
efad6c54da90991810c7a22f726a4c8a,2019-08-08,2020-03-25,5.0,direct,CA,5006,Insured is no longer in business
a5d41e72980b301f349251bc57ba283b,2020-02-03,2021-02-03,5.0,agents,CO,5009,
4870a460773f6b5fb44202e88fda3252,2020-02-05,2021-02-05,2.0,sem,NJ,5005,
08a4b6143cdbcc7a3050e626d6203089,2019-10-25,2019-11-13,5.0,channel sales,CA,5006,I had a short-term need for insurance that has ended
94e636b8543c7ef41fbf60bbb7a90f0e,2019-09-13,2020-09-13,12.0,sem,MI,100001,
b8ff4545deee03222fb5b544ffa97b06,2018-06-05,2018-08-05,5.0,sem,MO,5006,Non-Payment
e0299b4bfbf91a1991887e9d2900f3e8,2020-05-14,2021-05-14,25.0,sem,IN,5010,
410b3c8a4df572c0b41bd051f0a6e2d7,2018-10-09,2019-10-09,2.0,organic,MN,5005,
9444a433d472d9e764fabd160a271a71,2020-06-04,2021-06-04,32.0,sem,CO,100001,
597406fd4b26c306c39c415e5c1b1c95,2020-03-27,2021-03-27,5.0,sem,MO,5006,
e97e9a3a41b72e95024f2a15b5016d1b,2018-04-09,2019-04-09,40.0,sem,CA,5012,
b8b9ba10db7de811dba9c64ec0ffe44f,2019-11-25,2020-03-26,5.0,sem,MO,5003,No longer needed
3fea60e00d0fa29a29d2afd9b2f4b134,2020-07-29,2021-07-29,3.0,organic,MT,5005,
470c797f2e1cdea2dcf4ad503eb3ca67,2019-05-02,2020-03-02,2.0,sem,CA,5006,Non-Payment
227bddbeb9b45468e56dca43ba046f31,2019-10-21,2020-10-21,5.0,sem,PA,5006,
5fad84ed89d6bdcf005abf5d4f576f07,2019-04-23,2019-11-22,20.0,sem,OH,100001,Non-Payment
1c0a76632f849f1dee7331a22184fc80,2018-08-13,2019-08-13,11.0,sem,GA,100001,
3d0015aa13b29a2eaf2c572d17154570,2018-06-11,2019-06-11,2.0,sem,TX,5010,
d837bf5e09b4d071a2f51f6ac7141017,2020-03-01,2020-09-27,5.0,organic,NC,100042,Non-Payment
